Feature,Category,ASD_Mean,Control_Mean,ASD_Std,Control_Std,Test_Used,p_value,p_corrected,Significant_FDR,Significant_Uncorrected
Whole_Energy_global,Whole,-264.92208579826246,-210.8524021969891,110.27557398950927,83.51153688842847,Mann-Whitney U,0.0008348532013369553,0.0019471872743241961,True,True
Whole_Prop_agreement,Whole,0.2502334310842303,0.24750118776062022,0.006323333354048595,0.0044525605220547505,Mann-Whitney U,0.0009735936371620981,0.0019471872743241961,True,True
Whole_Prop_imbalanced_same,Whole,0.24726698958274484,0.250015261359132,0.006310603040239037,0.004422989415657282,Mann-Whitney U,0.000925135408306534,0.0019471872743241961,True,True
Whole_Prop_disagreement,Whole,0.26948714843037364,0.2672866493402904,0.00571928035996488,0.005246729183028391,t-test,0.007788050380332521,0.010021592189742426,True,True
Whole_Prop_imbalanced_opp,Whole,0.2330141266167926,0.23519527953978514,0.005706551055623272,0.005262797461050199,t-test,0.008351326824785356,0.010021592189742426,True,True
Whole_Bipolarity,Whole,0.6173130804487409,0.617397051941378,0.025889952931193744,0.03130027855472932,Mann-Whitney U,0.4188515325128651,0.4188515325128651,False,False
Intra_Visual_AvgFalffW,Intra,0.030320165717851334,0.026028832389434417,0.013398153915169367,0.01123757995806307,t-test,0.020815589995745738,0.1441711560866308,False,True
Intra_Visual_EnergyBlock,Intra,-53.637267929408175,-45.99946641474399,23.677492268499282,19.90947584491178,t-test,0.02006724416473623,0.1441711560866308,False,True
Intra_Limbic_AvgWeight,Intra,0.22901116841761376,0.20386297073796794,0.07299523036433796,0.06496560454353761,Mann-Whitney U,0.027461172587929676,0.1441711560866308,False,True
Intra_Default_AvgWeight,Intra,0.2305012382912435,0.254483758102538,0.07609906427153491,0.06693579239338424,t-test,0.025830294339998654,0.1441711560866308,False,True
Intra_SomatoMotor_AvgWeight,Intra,0.26085260386924525,0.2881912970883173,0.10120606997637711,0.09838886448968813,Mann-Whitney U,0.06307820650942884,0.2649284673396012,False,False
